,LGDNAME,gSpaces_within_300m,gSpaces_within_2km,gSpaces_within_5km,gSpaces_within_10km,num_settlements
0,Antrim and Newtownabbey,0.0,1.0,9.5,61.5,26
1,Ards and North Down,1.0,3.0,12.5,47.5,38
2,Armagh City Banbridge and Craigavon,0.0,1.0,4.5,30.5,78
3,Belfast,26.0,44.0,123.0,229.5,6
4,Causeway Coast and Glens,1.0,2.0,7.0,24.0,63
5,Derry City and Strabane,0.0,2.0,7.0,22.0,41
6,Fermanagh and Omagh,0.0,1.0,5.0,19.0,60
7,Lisburn and Castlereagh,0.0,1.0,27.0,101.0,41
8,Mid Ulster,0.0,1.0,7.0,24.0,70
9,Mid and East Antrim,1.0,3.0,11.0,41.5,28
10,Newry Mourne and Down,0.0,2.0,7.0,31.0,75
